USDT_available,USDT_frozen,BTC_available,BTC_frozen,NetAsset
9922.1966,77.8034,0,0,10000
9922.1981,0,0.0100015,0,9999.9977682
9922.1981,0,0.0000015,0.01,9999.9977682
9844.4101,77.788,0.0000015,0.01,9999.9977682
9922.22687077,77.788,0.0000015,0,10000.026541535
9922.22727077,0,0.010003,0,10000.03760687
9922.22727077,0,0.000003,0.01,10000.03760687
9844.44027077,77.787,0.000003,0.01,10000.03760687
9844.44047077,0,0.0100045,0.01,10000.048874785
9766.65377077,77.7867,0.0100045,0.01,10000.048874785
9766.65497077,0,0.020006,0.01,10000.04463937
9688.87397077,77.781,0.020006,0.01,10000.04463937
9688.87407077,0,0.0300075,0.01,10000.01559887
9611.10327077,77.7708,0.0300075,0.01,10000.01559887
9611.11006277,11.7433908,0.03849878,0.01,9999.9882116426
9611.11101407,-0,0.04000901,0.01,9999.9900774518
9533.34921407,77.7618,0.04000901,0.01,9999.9900774518
9533.35561407,-0,0.05001051,0.01,9999.889320912
9455.61361407,77.742,0.05001051,0.01,9999.889320912
9455.61361407,-0,0.06001201,0.01,9999.8253692412
9377.88241407,77.7312,0.06001201,0.01,9999.8253692412
9377.88251407,-0,0.07001351,0.01,9999.7603159516
9300.16091407,77.7216,0.07001351,0.01,9999.7603159516
9300.16091407,-0,0.08001501,0.01,9999.7710740415
9222.43941407,77.7215,0.08001501,0.01,9999.7710740415
9222.43981407,-0,0.09001651,0.01,9999.6031025485
9144.73621407,77.7036,0.09001651,0.01,9999.6041027136
9144.73631407,-0,0.10001801,0.01,9999.6136578934
9067.03291407,77.7034,0.10001801,0.01,9999.6136578934
9067.03321407,-0,0.11001951,0.01,9999.5391993562
8989.33701407,77.6962,0.11001951,0.01,9999.5391993562
8989.33821407,-0,0.12002101,0.01,9999.2530054632
8911.66501407,77.6732,0.12002101,0.01,9999.2530054632
8911.66501407,-0,0.13002251,0.01,9999.1260341583
8834.00171407,77.6633,0.13002251,0.01,9999.1260341583
8834.00411407,-0,0.14002401,0.01,9999.0740730889
8756.35511407,77.649,0.14002401,0.01,9998.925549319
8756.35671407,-0,0.15002551,0.01,9998.7211619754
8678.72131407,77.6354,0.15002551,0.01,9998.7211619754
8678.72131407,77.6354,0.16002551,0,9998.538732894
8678.72131407,77.6354,0.15002551,0.01,9998.6971581489
8756.38896247,77.6354,0.15002551,0,9999.062462926
8756.38896247,77.6354,0.14002551,0.01,9999.062462926
8834.05981135,77.6354,0.14002551,0,9999.1221199692
8834.05981135,77.6354,0.13002551,0.01,9999.1571263467
8911.74806284,77.6354,0.13002551,0,9999.3774158466
8911.74806284,77.6354,0.12002551,0.01,9999.3839171221
8989.4481161,77.6354,0.12002551,0,9999.5424992084
8989.4481161,77.6354,0.11002551,0.01,9999.5569022696
9067.17877395,77.6354,0.11002551,0,9999.921435119
9067.17877395,77.6354,0.10002551,0.01,9999.9258361394
9144.91093203,77.6354,0.10002551,0,9999.9495970255
9144.91093203,77.6354,0.09002551,0.01,9999.9495970255
9222.64499039,77.6354,0.09002551,0,9999.9802602324
9222.64499039,77.6354,0.08002551,0.01,9999.9829609977
9300.39675141,77.6354,0.08002551,0,10000.1512664051
9300.39675141,77.6354,0.07002551,0.01,10000.158468701
9378.16311462,77.6354,0.07002551,0,10000.2797668597
9378.16311462,77.6354,0.06002551,0.01,10000.2797668597
9455.93747903,77.6354,0.06002551,0,10000.3474516777
9455.93747903,77.6354,0.05002551,0.01,10000.3498526981
9533.72454534,77.6354,0.05002551,0,10000.4353503854
9533.72454534,77.6354,0.04002551,0.01,10000.4378516609
9611.35994534,-0,0.04002551,0.01,10000.4423539568
9533.58154534,77.7784,0.04002551,0.01,10000.4503580384
9611.37331236,77.7784,0.04002551,0,10000.4705293951
9611.37331236,77.7784,0.03002551,0.01,10000.4729309257
9689.18328211,77.7784,0.03002551,0,10000.5550455733
9689.18328211,77.7784,0.02002551,0.01,10000.56014991
9764.18084456,77.7784,0.02002551,0.000365,10000.652466737
9767.02195617,77.7784,0.02002551,0,10000.652892847
9767.02195617,77.7784,0.01002551,0.01,10000.6362716737
9844.86733123,77.7784,0.01002551,0,10000.6779849987
9844.86733123,77.7784,0.00002551,0.01,10000.6786867844
9922.73660987,77.7784,0.00002551,0,10000.7136246076
10000.51500987,-0,0.00002551,0,10000.7137835349
9922.59360987,77.9214,0.00002551,0,10000.7137873614
10000.51500987,-0,0.00002551,0,10000.7140595531
9922.45070987,78.0643,0.00002551,0,10000.7141518993
9922.46840987,-0,0.01002701,0,10000.6655514065
9922.46840987,-0,0.00002701,0.01,10000.6655514065
9844.47910987,77.9893,0.00002701,0.01,10000.6683589693
9844.47950987,-0,0.01002851,0.01,10000.6373960678
9766.51040987,77.9691,0.01002851,0.01,10000.6399997741
9844.5743177,77.9691,0.01002851,0,10000.8181445222
9844.5743177,77.9691,0.00002851,0.01,10000.8182448073
9922.67013032,77.9691,0.00002851,0,10000.8618480891
10000.63923032,-0,0.00002851,0,10000.8619136621
9922.52973032,78.1095,0.00002851,0,10000.8619205045
9922.53123032,-0,0.01003001,0,10000.8657087201
9922.53123032,-0,0.00003001,0.01,10000.8657087201
9844.43113032,78.1001,0.00003001,0.01,10000.8657087201
9844.43253032,-0,0.01003151,0.01,10000.8519815117
9766.34583032,78.0867,0.01003151,0.01,10000.8519815117
9844.46564654,78.0867,0.01003151,0,10000.9065651631
9844.46564654,78.0867,0.00003151,0.01,10000.9068661084
9922.59556427,78.0867,0.00003151,0,10000.9284147182
9922.59966427,-0,0.01003301,0,10000.9239621166
9922.59966427,-0,0.00003301,0.01,10000.9239621166
9844.53306427,78.0666,0.00003301,0.01,10000.9239621166
9922.63047713,78.0666,0.00003301,0,10000.9548380257
9922.63257713,-0,0.01003451,0,10000.9635677116
9922.63257713,-0,0.00003451,0.01,10000.9635677116
9844.57437713,78.0582,0.00003451,0.01,10000.9601559782
9844.57567713,-0,0.01003601,0.01,10000.9519265376
9766.53707713,78.0386,0.01003601,0.01,10000.9338941286
9766.53777713,-0,0.02003751,0.01,10000.9012436536
9688.51417713,78.0236,0.02003751,0.01,10000.9012436536
9766.59248712,78.0236,0.02003751,0,10001.0421149366
9766.59248712,78.0236,0.01003751,0.01,10001.0182702997
9766.59618712,-0,0.02003901,0.01,10000.9338084211
9688.59228712,78.0039,0.02003901,0.01,10000.9121803339
9688.59648712,-0,0.03004051,0.01,10000.8792314967
9610.60708712,77.9894,0.03004051,0.01,10000.8700221794
9610.60758712,-0,0.04004201,0.01,10000.8717117673
9532.63438712,77.9732,0.04004201,0.01,10000.8011525332
9610.72019824,77.9732,0.04004201,0,10001.3177875341
9610.72019824,77.9732,0.03004201,0.01,10001.3205904748
9610.7202682,23.42314928,0.03703906,0.01,10000.8792152546
9610.7204184,-0,0.04004352,0.01,10000.8792172928
9532.7565184,77.9639,0.04004352,0.01,10000.8792172928
9532.7566184,-0,0.05004502,0.01,10000.8141542522
9454.8054184,77.9512,0.05004502,0.01,10000.8147547024
9454.8055184,-0,0.06004652,0.01,10000.74809528
9376.8655184,77.94,0.06004652,0.01,10000.74809528
9454.8055184,-0,0.06004652,0.01,10001.6390870144
9376.7289184,78.0766,0.06004652,0.01,10001.7049307432
9454.83563265,78.0766,0.06004652,0,10001.84553059
9454.83563265,78.0766,0.05004652,0.01,10001.8479324508
9454.83783265,-0,0.06004802,0.01,10001.5885465174
9376.78413265,78.0537,0.06004802,0.01,10001.5885465174
9376.78613265,-0,0.07004952,0.01,10001.480579302
9298.75583265,78.0303,0.07004952,0.01,10001.4149386956
9298.75593265,-0,0.08005102,0.01,10001.3321896696
9220.73523265,78.0207,0.08005102,0.01,10001.3402942614
9220.73533265,-0,0.09005252,0.01,10001.265051674
9142.72643265,78.0089,0.09005252,0.01,10001.2340353928
9142.72673265,-0,0.10005402,0.01,10000.9808065396
9064.74103265,77.9857,0.10005402,0.01,10000.9907114014
9064.74143265,-0,0.11005552,0.01,10000.7951132068
8986.77273265,77.9687,0.11005552,0.01,10000.7987148724
9064.88574785,77.9687,0.11005552,0,10002.4023662676
9064.88574785,77.9687,0.10005552,0.01,10002.5080195668
9142.85444785,-0,0.10005552,0.01,10002.5905612068
9064.73454785,78.1199,0.10005552,0.01,10002.6070695348
9142.87046648,78.1199,0.10005552,0,10002.6661120384
9142.87046648,78.1199,0.09005552,0.01,10002.6781187008
9221.01998715,78.1199,0.09005552,0,10002.8139082156
9221.01998715,78.1199,0.08005552,0.01,10002.8274165436
9299.17170815,78.1199,0.08005552,0,10002.84544143
9299.17170815,78.1199,0.07005552,0.01,10002.8470425404
9377.33333064,78.1199,0.07005552,0,10002.9364188848
9377.33333064,78.1199,0.06005552,0.01,10002.9364188848
9377.34423064,-0,0.07005702,0.01,10002.637591052
9299.23853064,78.1057,0.07005702,0.01,10002.6351893414
9377.40055319,78.1057,0.07005702,0,10003.0039662006
9377.40055319,78.1057,0.06005702,0.01,10003.0116724728
9455.5796783,78.1057,0.06005702,0,10003.1354888148
9455.5796783,78.1057,0.05005702,0.01,10003.1372905254
9533.77040515,78.1057,0.05005702,0,10003.216881808
9533.77040515,78.1057,0.04005702,0.01,10003.219384659
9611.96203214,78.1057,0.04005702,0,10003.2331139298
9611.96203214,78.1057,0.03005702,0.01,10003.2331139298
9690.15445925,78.1057,0.03005702,0,10003.2480456014
9690.15445925,78.1057,0.02005702,0.01,10003.2778020512
9768.36608924,78.1057,0.02005702,0,10003.3174850698
9768.36608924,78.1057,0.01005702,0.01,10003.3174850698
9846.57841933,78.1057,0.01005702,0,10003.3306191512
9846.57841933,78.1057,0.00005702,0.01,10003.331524283
9846.57871933,-0,0.01005852,0.01,10003.2271353664
9768.49261933,78.0861,0.01005852,0.01,10003.2078791872
9768.49311933,-0,0.02006002,0.01,10003.1617756634
9690.42561933,78.0675,0.02006002,0.01,10003.164180465
9690.42561933,78.0675,0.03006002,0,10003.090533416
9690.42561933,78.0675,0.02006002,0.01,10003.099551422
9690.42562059,77.99723925,0.02006903,0.01,10003.1582459865
9690.44810034,-0,0.03006153,0.01,10003.1075099944
9612.40320034,78.0449,0.03006153,0.01,10003.1079106097
9612.40780034,-0,0.04006303,0.01,10003.0701492723
9534.37370034,78.0341,0.04006303,0.01,10003.0701492723
9534.37420034,-0,0.05006453,0.01,10002.9874524299
9456.35590034,78.0183,0.05006453,0.01,10002.9874524299
9456.35590034,-0,0.06006603,0.01,10002.9402997097
9378.34600034,78.0099,0.06006603,0.01,10002.9402997097
9378.34630034,-0,0.07006753,0.01,10002.8738350153
9300.34620034,78.0001,0.07006753,0.01,10002.8738350153
9300.34670034,-0,0.08006903,0.01,10002.7085990412
9222.36670034,77.98,0.08006903,0.01,10002.70499628
9222.36760034,-0,0.09007053,0.01,10002.5134493988
9144.40800034,77.9596,0.09007053,0.01,10002.5134493988
9144.40930034,-0,0.10007203,0.01,10002.3943569028
9066.46840034,77.9409,0.10007203,0.01,10002.3206086427
9066.46970034,-0,0.11007353,0.01,10002.2399424243
8988.53680034,77.9329,0.11007353,0.01,10002.2375409537
8988.53830034,-0,0.12007503,0.01,10002.0842348503
8988.53830034,-0,0.13007503,0,10002.0842348503
8988.53830034,-0,0.12007503,0.01,10002.0035883317
8910.62440034,77.9139,0.12007503,0.01,10002.0035883317
8910.62470034,-0,0.13007653,0.01,10001.8320751624
8832.72470034,77.9,0.13007653,0.01,10001.82086904
8832.72473852,48.15778,0.13389511,0.01,10001.6369228259
8832.72473852,-0,0.14007804,0.01,10001.6360678876
8754.83873852,77.886,0.14007804,0.01,10001.622560864
8832.78122814,77.886,0.14007804,0,10002.3066001032
8832.78122814,77.886,0.13007804,0.01,10002.323409468
8910.73862,77.886,0.13007804,0,10002.5270082428
8910.73862,77.886,0.12007804,0.01,10002.5517230704
8988.7183152,77.886,0.12007804,0,10002.828777472
8988.7183152,77.886,0.11007804,0.01,10002.8443876172
9066.71721328,77.886,0.11007804,0,10003.0710253888
9066.71721328,77.886,0.10007804,0.01,10003.090839436
9066.71721328,-0,0.11007954,0.01,10001.8594461426
8988.84031328,77.8769,0.11007954,0.01,10001.8594461426
8988.84621328,-0,0.12008104,0.01,10001.7989790536
8910.97901328,77.8672,0.12008104,0.01,10001.7508490688
8910.97901328,-0,0.13008254,0.01,10001.6644713708
8833.11881328,77.8602,0.13008254,0.01,10001.6644713708
8833.12991328,-0,0.14008404,0.01,10001.399089044
8833.12991328,-0,0.15008404,0,10001.399089044
8833.12991328,-0,0.14008404,0.01,10000.9923612956
8755.31601328,77.8139,0.14008404,0.01,10000.9923612956
8755.31951328,-0,0.15008554,0.01,10000.8026238894
8677.51841328,77.8011,0.15008554,0.01,10000.8026238894
8677.53491328,-0,0.16008704,0.01,10000.480414752
8599.75401328,77.7809,0.16008704,0.01,10000.4872182336
8599.77491328,-0,0.17008854,0.01,10000.0587587062
8522.01911328,77.7558,0.17008854,0.01,10000.0677631332
8522.02301328,-0,0.18009004,0.01,9999.7525698336
8444.28441328,77.7386,0.18009004,0.01,9999.7563716344
8444.28501328,-0,0.19009154,0.01,9999.4404822988
8366.56281328,77.7222,0.19009154,0.01,9999.4404822988
8366.56381328,-0,0.20009304,0.01,9999.19682712
8288.85381328,77.71,0.20009304,0.01,9999.19682712
8288.85551328,-0,0.21009454,0.01,9999.0142994794
8211.15441328,77.7011,0.21009454,0.01,9999.0142994794
8211.15621328,-0,0.22009604,0.01,9998.9840363968
8133.45701328,77.6992,0.22009604,0.01,9998.9840363968
8133.45761328,-0,0.23009754,0.01,9998.5881254588
8133.45761328,-0,0.24009754,0,9998.5881254588
8133.45761328,-0,0.23009754,0.01,9998.5881254588
8055.77541328,77.6822,0.23009754,0.01,9998.5881254588
8133.47616665,77.6822,0.23009754,0,9998.7654461314
8133.47616665,77.6822,0.22009754,0.01,9998.763145156
8133.47626665,-0,0.23009904,0.01,9998.1766489252
8055.81136665,77.6649,0.23009904,0.01,9998.2030598196
8055.81156665,-0,0.24010054,0.01,9998.09236029
7978.15156665,77.66,0.24010054,0.01,9998.09236029
7978.15896665,-0,0.25010204,0.01,9997.8955245968
7900.50666665,77.6523,0.25010204,0.01,9997.9111307192
7900.50976665,-0,0.26010354,0.01,9997.8394454314
7822.86066665,77.6491,0.26010354,0.01,9997.8394454314
7822.86106665,-0,0.27010504,0.01,9997.6218066636
7745.22106665,77.64,0.27010504,0.01,9997.59659721
7745.22466665,-0,0.28010654,0.01,9997.5045037902
7667.58836665,77.6363,0.28010654,0.01,9997.5045037902
7667.58936665,-0,0.29010804,0.01,9997.358091974
7589.96916665,77.6202,0.29010804,0.01,9997.0339752908
7589.98946665,-0,0.30010954,0.01,9995.3975289956
7512.42236665,77.5671,0.30010954,0.01,9995.4192366634
7512.43986665,-0,0.31011104,0.01,9994.7281218884
7434.89436665,77.5455,0.31011104,0.01,9994.756931882
7434.89436665,77.5455,0.32011104,0,9994.6352896868
