USDT_available,USDT_frozen,BTC_available,BTC_frozen,NetAsset
96549.748,0,0.4,0,100000
100096.62,0,0,0,100096.62
96592.596,0,0.4,0,100096.62
100091.068,0,0,0,100091.068
96521.648,0,0.4,0,100091.068
100129.548,0,0,0,100129.548
96477.348,0,0.4,0,100129.548
100111.596,0,0,0,100111.596
96937.94,0,0.4,0,100111.596
100067.008,0,0,0,100067.008
96944.056,0,0.4,0,100067.008
99900.512,0,0,0,99900.512
97658.128,0,0.4,0,99900.512
99750.172,0,0,0,99750.172
97594.192,0,0.4,0,99750.172
99715.312,0,0,0,99715.312
97730.1,0,0.4,0,99715.312
99888.504,0,0,0,99888.504
97730.772,0,0.4,0,99888.504
100244.764,0,0,0,100244.764
97773.536,0,0.4,0,100244.764
100180.068,0,0,0,100180.068
97665.492,0,0.4,0,100180.068
100344.12,0,0,0,100344.12
97666.956,0,0.4,0,100344.12
100308.936,0,0,0,100308.936
97623.28,0,0.4,0,100308.936
100303.28,0,0,0,100303.28
97813.356,0,0.4,0,100303.28
100248.2,0,0,0,100248.2
97767.768,0,0.4,0,100248.2
100323.768,0,0,0,100323.768
97746.968,0,0.4,0,100323.768
100279.536,0,0,0,100279.536
97637.344,0,0.4,0,100279.536
100355.12,0,0,0,100355.12
97571.584,0,0.4,0,100355.12
100278.956,0,0,0,100278.956
97538.984,0,0.4,0,100278.956
100250.232,0,0,0,100250.232
97437.792,0,0.4,0,100250.232
100317.392,0,0,0,100317.392
97396.512,0,0.4,0,100317.392
100319.088,0,0,0,100319.088
97560.94,0,0.4,0,100319.088
100275.228,0,0,0,100275.228
97508.428,0,0.4,0,100275.228
100269.272,0,0,0,100269.272
97560.356,0,0.4,0,100269.272
100311.24,0,0,0,100311.24
97620.372,0,0.4,0,100311.24
100421.448,0,0,0,100421.448
97587.856,0,0.4,0,100421.448
100411.704,0,0,0,100411.704
97600.504,0,0.4,0,100411.704
100449.428,0,0,0,100449.428
97586.744,0,0.4,0,100449.428
100373.08,0,0,0,100373.08
97621.72,0,0.4,0,100373.08
100367.024,0,0,0,100367.024
97543.104,0,0.4,0,100367.024
100381.904,0,0,0,100381.904
97373.268,0,0.4,0,100381.904
100371.6,0,0,0,100371.6
97358.484,0,0.4,0,100371.6
100368.448,0,0,0,100368.448
97275.076,0,0.4,0,100368.448
100351.28,0,0,0,100351.28
97241.7,0,0.4,0,100351.28
100327.996,0,0,0,100327.996
97183.816,0,0.4,0,100327.996
100720.116,0,0,0,100720.116
97216.292,0,0.4,0,100720.116
100721.44,0,0,0,100721.44
97187.84,0,0.4,0,100721.44
100829.84,0,0,0,100829.84
97291.572,0,0.4,0,100829.84
100829.916,0,0,0,100829.916
97246.4,0,0.4,0,100829.916
101180.012,0,0,0,101180.012
97202.2,0,0.4,0,101180.012
101133.708,0,0,0,101133.708
97638.72,0,0.4,0,101133.708
101103.4,0,0,0,101103.4
97617.584,0,0.4,0,101103.4
101142.004,0,0,0,101142.004
97481.66,0,0.4,0,101142.004
101248.952,0,0,0,101248.952
97494.232,0,0.4,0,101248.952
101224.048,0,0,0,101224.048
97406.016,0,0.4,0,101224.048
101277.46,0,0,0,101277.46
97397.308,0,0.4,0,101277.46
101238.38,0,0,0,101238.38
97340.38,0,0.4,0,101238.38
101160.38,0,0,0,101160.38
97514.1,0,0.4,0,101160.38
101181.688,0,0,0,101181.688
97509.496,0,0.4,0,101181.688
101131.636,0,0,0,101131.636
97572.24,0,0.4,0,101131.636
101096.472,0,0,0,101096.472
97564.98,0,0.4,0,101096.472
101246.448,0,0,0,101246.448
97466.08,0,0.4,0,101246.448
101230.636,0,0,0,101230.636
97409.18,0,0.4,0,101230.636
101206.032,0,0,0,101206.032
97384.036,0,0.4,0,101206.032
101187.568,0,0,0,101187.568
97363.956,0,0.4,0,101187.568
101214.116,0,0,0,101214.116
97302.344,0,0.4,0,101214.116
101211.116,0,0,0,101211.116
97349.9,0,0.4,0,101211.116
101202.224,0,0,0,101202.224
97292.012,0,0.4,0,101202.224
101174.368,0,0,0,101174.368
97294.408,0,0.4,0,101174.368
101182.612,0,0,0,101182.612
97258.56,0,0.4,0,101182.612
101157.936,0,0,0,101157.936
